fips_code,county,cox,moore,lashar,wallace,harding,write_ins,total_votes,moore_pct
24001,Allegany,13833,6390,279,143,267,0,20769,30.767008522316914
24003,Anne Arundel,72806,83643,3446,948,1247,0,161142,51.90639311911234
24510,Baltimore City,11140,107563,1237,1180,1391,0,121331,88.65252903215172
24005,Baltimore County,76242,117356,3636,1482,2200,0,199434,58.84453001995647
24009,Calvert,18447,14236,504,142,242,0,33429,42.585778814801515
24011,Caroline,6727,3276,176,56,140,0,10319,31.74726233162128
24013,Carroll,38969,25155,1515,436,561,0,66200,37.99848942598187
24015,Cecil,18159,8691,472,155,311,0,27633,31.451525350124847
24017,Charles,15096,33633,408,283,414,0,49551,67.87552218925956
24019,Dorchester,6169,4341,139,69,157,0,10806,40.17212659633537
24021,Frederick,40178,38581,1456,468,606,0,80821,47.73635565014043
24023,Garrett,8195,2402,194,52,138,0,10929,21.978223076219233
24025,Harford,51065,38139,1948,598,886,0,92038,41.43831895521415
24027,Howard,33110,83690,2464,802,713,0,119977,69.75503638197321
24029,Kent,3718,4256,106,56,93,0,8173,52.073901872017615
24031,Montgomery,54968,191695,3013,2146,1551,0,251227,76.30350241017088
24033,Prince George's,16903,161692,999,1593,1888,0,181482,89.09533727862818
24035,Queen Anne's,12840,8577,416,120,212,0,22045,38.90678158312543
24037,Saint Mary's,20279,13291,661,253,346,0,34577,38.43884663215432
24039,Somerset,3974,2254,67,46,81,0,6376,35.3513174404015
24041,Talbot,7497,7989,289,70,128,0,15903,50.23580456517638
24043,Washington,26943,15723,614,252,472,0,43752,35.93664289632474
24045,Wicomico,14612,12213,388,171,358,0,27571,44.29654346958761
24047,Worcester,13433,8550,273,121,161,0,22417,38.14069679261275
